level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,3.0,0.0,0.0,167,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Man City,Chelsea,,nan,,,0.0,0.0,,nan,1.0,Man City
1,2,3.0,0.0,0.0,15,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Chelsea,Man City,,nan,,,0.0,0.0,,nan,1.0,Man City
2,3,4.0,0.0,0.0,167,52.71000000000001,33.864,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '32.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '19.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.23'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 127, 35, 38, 215, 218]",True,73084.0,20.16,31.008000000000003,,,,,,,,,,,0.0,,,,6.0,3.0,2.0,3.0,0.01689528,0.01016549,-0.006729789999999999,Man City,Chelsea,17.0,Kevin De Bruyne,AMC,True,-32.60256525663389,0.0,-174.9855991332153,K. D. Bruyne,1.0,Man City
3,4,4.5,0.0,2.0,167,20.16,31.008000000000003,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,121774.0,25.62,31.212,,,,,,5.0,,,,,0.03333333333333333,,,,2.0,3.0,2.0,3.0,0.01016549,0.01016549,0.0,Man City,Chelsea,31.0,Ederson,GK,True,0.0,5.463796863180647,2.1397261406035217,Ederson,1.0,Man City
4,5,5.0,0.0,4.0,167,25.62,31.212,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '59.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '12.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.89'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '77.0'}]","[91, 119, 117, 127, 205, 36, 38, 217, 218]",True,121774.0,80.85000000000001,8.16,,,,,,,,,,,0.06666666666666667,,,,2.0,3.0,9.0,0.0,0.01016549,0.02756312,0.01739763,Man City,Chelsea,31.0,Ederson,GK,True,44.06048331299175,0.0,-22.65477175779992,Ederson,1.0,Man City
5,6,6.0,0.0,8.0,167,80.85000000000001,8.16,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '91.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '27.4'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.60'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.5'}]","[91, 120, 29, 139, 36, 37, 217, 218]",True,315227.0,96.075,18.632,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,Man City,Chelsea,9.0,Erling Haaland,FW,True,17.59682585885605,0.0,34.52081917865031,E. Haaland,1.0,Man City
6,7,832.0,0.0,11.0,15,7.14,48.824,0.0,FirstHalf,KeeperSweeper,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",[],False,362151.0,,,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Chelsea,Man City,1.0,Robert Sanchez,GK,True,0.0,0.0,,R. Sanchez,2.0,Chelsea
7,8,4.0,0.0,11.0,15,8.925,47.87200000000001,0.0,FirstHalf,KeeperPickup,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}]",[93],False,362151.0,,,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Chelsea,Man City,1.0,Robert Sanchez,GK,True,0.0,0.0,,R. Sanchez,2.0,Chelsea
8,9,5.0,0.0,22.0,15,11.235,33.932,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.97'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 123, 'displayName': 'KeeperThrow'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '24.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '15.0'}]","[91, 36, 38, 215, 218]",True,362151.0,15.75,16.592,,,,,,,,,,,0.36666666666666664,,,,1.0,3.0,1.0,1.0,0.01082722,0.00878589,-0.002041330000000001,Chelsea,Man City,1.0,Robert Sanchez,GK,True,2.833176749185,0.0,-75.40535849293576,R. Sanchez,2.0,Chelsea
9,10,5.5,0.0,25.0,15,15.75,16.592,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,373946.0,24.255000000000003,17.068,,,,,,6.0,,,,,0.41666666666666663,,,,1.0,1.0,2.0,1.0,0.00878589,0.00942382,0.0006379300000000001,Chelsea,Man City,29.0,Wesley Fofana,DC,True,0.0,8.430650044168857,3.203335543635272,W. Fofana,2.0,Chelsea
